epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2545.5,0.52648,1.10447,1.16468,0.49098,0.71806,0.45853,0.41263,1.11748,1.53935,0.84772,0.000511769,0.000511769,0.000511769
58,2588.12,0.49926,1.09528,1.13998,0.49678,0.7208,0.45505,0.4094,1.0915,1.55913,0.81686,0.00049114,0.00049114,0.00049114
59,2630.69,0.49752,1.08491,1.13583,0.49825,0.7208,0.46543,0.41849,1.09664,1.55577,0.7919,0.000470511,0.000470511,0.000470511
60,2673.34,0.50785,1.07847,1.15198,0.49742,0.7208,0.46344,0.41653,1.09688,1.55985,0.83846,0.000449882,0.000449882,0.000449882
61,2716.42,0.50645,1.09633,1.15302,0.49516,0.7208,0.45683,0.41108,1.09423,1.56219,0.81769,0.000429253,0.000429253,0.000429253
62,2759.62,0.50969,1.09304,1.13872,0.47781,0.71806,0.44597,0.39991,1.10208,1.5499,0.81158,0.000408623,0.000408623,0.000408623
63,2802.86,0.49168,1.07915,1.14231,0.4974,0.7208,0.46731,0.41973,1.08383,1.54473,0.81374,0.000387994,0.000387994,0.000387994
64,2845.61,0.49267,1.07622,1.13309,0.49794,0.7208,0.47826,0.42951,1.11203,1.52633,0.84877,0.000367365,0.000367365,0.000367365
65,2888.73,0.51587,1.11488,1.14764,0.49813,0.71943,0.47168,0.4242,1.09524,1.516,0.83578,0.000346736,0.000346736,0.000346736
66,2931.5,0.47973,1.07316,1.12747,0.49226,0.71706,0.45405,0.40858,1.09853,1.57893,0.84187,0.000326107,0.000326107,0.000326107
67,2974.05,0.48415,1.06519,1.13521,0.49547,0.7208,0.47375,0.42629,1.09309,1.55554,0.82842,0.000305478,0.000305478,0.000305478
68,3016.68,0.47277,1.06789,1.11727,0.48715,0.7208,0.47173,0.42451,1.081,1.54703,0.82953,0.000284849,0.000284849,0.000284849
69,3059.15,0.48125,1.06622,1.13884,0.49377,0.7208,0.46881,0.4217,1.08017,1.52094,0.81741,0.00026422,0.00026422,0.00026422
70,3101.6,0.47607,1.06198,1.12571,0.50004,0.7208,0.47567,0.42796,1.08227,1.53778,0.83067,0.00024359,0.00024359,0.00024359
71,3154.84,0.6234,1.15936,0.8323,0.50054,0.7208,0.47756,0.42965,1.07571,1.50713,0.78488,0.000222961,0.000222961,0.000222961
72,3196.94,0.59653,1.12662,0.83024,0.50543,0.71176,0.53472,0.48103,1.06933,1.47449,0.77295,0.000202332,0.000202332,0.000202332
73,3239.02,0.59118,1.1397,0.83609,0.50323,0.7208,0.52941,0.4764,1.05944,1.45009,0.79662,0.000181703,0.000181703,0.000181703
74,3281.04,0.6137,1.1527,0.83712,0.51732,0.70985,0.56098,0.50477,1.07365,1.47495,0.78352,0.000161074,0.000161074,0.000161074
75,3323.13,0.60504,1.12525,0.82703,0.55364,0.67049,0.58399,0.52545,1.08247,1.45138,0.77477,0.000140445,0.000140445,0.000140445
76,3365.25,0.60565,1.13581,0.83446,0.58758,0.68978,0.63203,0.56866,1.065,1.43617,0.7928,0.000119816,0.000119816,0.000119816
77,3408.04,0.58125,1.08649,0.82934,0.63627,0.67701,0.65298,0.58751,1.06249,1.38306,0.78634,9.91865e-05,9.91865e-05,9.91865e-05
78,3450.73,0.60017,1.10319,0.82447,0.60298,0.69161,0.62874,0.56553,1.06664,1.36341,0.7823,7.85574e-05,7.85574e-05,7.85574e-05
79,3492.81,0.59689,1.08686,0.81791,0.62961,0.69708,0.66113,0.5947,1.06216,1.40072,0.7802,5.79283e-05,5.79283e-05,5.79283e-05
80,3534.91,0.59776,1.06331,0.81336,0.67812,0.68633,0.6751,0.60722,1.05658,1.35533,0.77328,3.72991e-05,3.72991e-05,3.72991e-05
